symbol,price_change,price_change_percent,weighted_avg_price,last_price,last_qty,open_price,high_price,low_price,volume,quote_volume,open_time,close_time,count
BTCUSDT,760.88,1.231,62308.42536772,62572.01,0.00045,61811.13,62979.86,61510.01,11692.62352,728548959.948748,1783065252003,1783151652003,2279901
ETHUSDT,37.46,2.177,1745.36725348,1758.15,0.0299,1720.69,1775.78,1715.68,227488.0157,397050133.162334,1783065253011,1783151653011,2400191
SOLUSDT,1.41,1.733,82.20549945,82.75,1.342,81.34,83.98,80.67,2121308.312,174383209.28421,1783065253736,1783151653736,773102
