date,local_name,name,country_code,global_holiday
2026-01-01,Año Nuevo,New Year's Day,MX,True
2026-02-02,Día de la Constitución,Constitution Day,MX,True
2026-03-16,Natalicio de Benito Juárez,Benito Juárez's birthday,MX,True
2026-04-02,Jueves Santo,Maundy Thursday,MX,True
2026-04-03,Viernes Santo,Good Friday,MX,True
2026-05-01,Día del Trabajo,Labour Day,MX,True
2026-09-16,Día de la Independencia,Independence Day,MX,True
2026-11-16,Día de la Revolución,Revolution Day,MX,True
2026-12-25,Navidad,Christmas Day,MX,True
